TrafficType,sessions,purchasers,conversion_rate
16,3,1,33.33333333333333
7,40,12,30.0
8,343,95,27.696793002915456
20,198,50,25.252525252525253
2,3913,847,21.645796064400717
5,260,56,21.53846153846154
10,450,90,20.0
11,247,47,19.02834008097166
4,1069,165,15.434985968194576
14,13,2,15.384615384615385
6,444,53,11.936936936936938
1,2451,262,10.689514483884128
9,42,4,9.523809523809524
3,2052,180,8.771929824561402
19,17,1,5.88235294117647
13,738,43,5.826558265582656
12,1,0,0.0
15,38,0,0.0
18,10,0,0.0
17,1,0,0.0
